iter	Passed	Remaining
0	153	152854
1	158	78952
2	163	54452
3	169	42188
4	175	34839
5	180	29951
6	186	26468
7	192	23919
8	198	21868
9	204	20248
10	209	18876
11	216	17785
12	223	16966
13	230	16238
14	236	15545
15	242	14923
16	248	14355
17	255	13954
18	261	13522
19	268	13157
20	274	12798
21	280	12471
22	287	12201
23	292	11901
24	299	11662
25	304	11418
26	310	11183
27	316	10999
28	322	10804
29	328	10621
30	334	10453
31	339	10274
32	346	10161
33	352	10014
34	358	9879
35	364	9770
36	370	9642
37	377	9547
38	382	9435
39	389	9347
40	395	9250
41	401	9168
42	407	9073
43	414	9002
44	420	8918
45	426	8840
46	432	8764
47	437	8677
48	443	8614
49	449	8546
50	456	8497
51	462	8434
52	468	8376
53	475	8330
54	481	8266
55	487	8216
56	493	8160
57	499	8105
58	505	8067
59	512	8027
60	519	8000
61	526	7964
62	531	7907
63	537	7861
64	543	7816
65	550	7787
66	556	7742
67	561	7689
68	567	7654
69	573	7615
70	579	7576
71	584	7534
72	590	7496
73	596	7468
74	602	7434
75	607	7391
76	614	7370
77	620	7338
78	627	7314
79	633	7283
80	638	7246
81	645	7225
82	651	7195
83	657	7168
84	663	7139
85	668	7106
86	675	7092
87	681	7065
88	687	7038
89	693	7009
90	698	6977
91	704	6957
92	710	6927
93	716	6901
94	722	6880
95	727	6851
96	733	6825
97	739	6802
98	744	6774
99	750	6757
100	756	6732
101	761	6706
102	767	6686
103	773	6665
104	780	6653
105	786	6633
106	791	6609
107	798	6596
108	804	6575
109	809	6553
110	815	6533
111	821	6516
112	829	6509
113	834	6489
114	840	6471
115	847	6455
116	852	6436
117	859	6426
118	866	6411
119	872	6397
120	878	6382
121	884	6366
122	891	6358
123	897	6342
124	903	6327
125	909	6310
126	916	6296
127	923	6292
128	929	6276
129	936	6265
130	942	6250
131	948	6238
132	955	6227
133	961	6213
134	968	6204
135	975	6199
136	983	6196
137	990	6189
138	999	6191
139	1006	6182
140	1013	6175
141	1020	6166
142	1027	6155
143	1034	6148
144	1043	6151
145	1049	6141
146	1055	6126
147	1063	6121
148	1069	6110
149	1077	6104
150	1083	6092
151	1090	6084
152	1096	6071
153	1102	6058
154	1109	6048
155	1115	6034
156	1122	6026
157	1128	6015
158	1136	6010
159	1142	5999
160	1151	6000
161	1157	5987
162	1162	5970
163	1169	5962
164	1175	5948
165	1181	5936
166	1187	5921
167	1192	5907
168	1199	5897
169	1205	5883
170	1210	5868
171	1217	5859
172	1222	5845
173	1228	5833
174	1234	5821
175	1240	5806
176	1246	5796
177	1252	5783
178	1257	5768
179	1263	5758
180	1269	5744
181	1275	5733
182	1281	5720
183	1286	5706
184	1293	5696
185	1298	5684
186	1304	5673
187	1311	5663
188	1316	5649
189	1323	5640
190	1328	5629
191	1334	5614
192	1341	5607
193	1346	5594
194	1353	5587
195	1359	5575
196	1364	5561
197	1371	5553
198	1377	5544
199	1384	5536
200	1390	5527
201	1396	5515
202	1402	5508
203	1408	5496
204	1438	5577
205	1448	5584
206	1454	5572
207	1461	5564
208	1469	5560
209	1480	5569
210	1486	5556
211	1493	5551
212	1500	5542
213	1506	5532
214	1512	5521
215	1517	5507
216	1523	5498
217	1529	5486
218	1535	5476
219	1541	5466
220	1547	5455
221	1554	5448
222	1560	5438
223	1566	5427
224	1572	5416
225	1578	5407
226	1585	5398
227	1591	5387
228	1597	5377
229	1603	5368
230	1609	5357
231	1615	5348
232	1621	5336
233	1626	5324
234	1633	5316
235	1639	5306
236	1646	5299
237	1652	5290
238	1657	5278
239	1664	5269
240	1670	5259
241	1676	5250
242	1682	5241
243	1687	5228
244	1694	5221
245	1700	5212
246	1706	5201
247	1711	5190
248	1717	5179
249	1723	5171
250	1729	5160
251	1734	5149
252	1741	5142
253	1747	5132
254	1753	5122
255	1759	5113
256	1765	5103
257	1772	5096
258	1778	5087
259	1784	5078
260	1790	5068
261	1795	5058
262	1802	5050
263	1808	5040
264	1813	5028
265	1819	5021
266	1825	5011
267	1831	5003
268	1837	4994
269	1843	4983
270	1850	4976
271	1855	4967
272	1861	4958
273	1867	4949
274	1873	4938
275	1880	4934
276	1887	4927
277	1894	4919
278	1899	4909
279	1905	4899
280	1912	4892
281	1917	4882
282	1923	4874
283	1929	4864
284	1934	4853
285	1940	4845
286	1946	4836
287	1951	4825
288	1958	4818
289	1964	4808
290	1969	4799
291	1975	4790
292	1981	4780
293	1987	4772
294	1993	4763
295	1998	4754
296	2005	4746
297	2012	4740
298	2023	4745
299	2033	4743
300	2039	4735
301	2044	4726
302	2052	4721
303	2058	4712
304	2064	4704
305	2070	4696
306	2076	4688
307	2082	4678
308	2088	4670
309	2095	4663
310	2102	4657
311	2108	4649
312	2114	4640
313	2119	4631
314	2126	4624
315	2132	4616
316	2138	4608
317	2144	4599
318	2149	4589
319	2156	4582
320	2161	4572
321	2167	4563
322	2174	4557
323	2180	4549
324	2186	4541
325	2192	4533
326	2198	4523
327	2204	4515
328	2210	4507
329	2214	4497
330	2221	4489
331	2227	4480
332	2232	4472
333	2238	4463
334	2243	4454
335	2250	4447
336	2255	4438
337	2261	4429
338	2267	4421
339	2272	4412
340	2279	4404
341	2284	4395
342	2289	4385
343	2296	4378
344	2301	4369
345	2307	4361
346	2314	4355
347	2319	4346
348	2325	4338
349	2331	4330
350	2337	4321
351	2343	4314
352	2349	4305
353	2355	4297
354	2360	4288
355	2366	4281
356	2372	4272
357	2378	4265
358	2384	4256
359	2389	4248
360	2396	4241
361	2402	4233
362	2408	4227
363	2414	4219
364	2419	4209
365	2426	4203
366	2431	4194
367	2437	4185
368	2443	4178
369	2448	4169
370	2454	4161
371	2460	4153
372	2466	4145
373	2472	4139
374	2478	4131
375	2484	4123
376	2490	4116
377	2496	4107
378	2502	4101
379	2508	4093
380	2514	4085
381	2520	4078
382	2526	4070
383	2531	4061
384	2537	4053
385	2542	4044
386	2548	4037
387	2554	4030
388	2560	4021
389	2566	4014
390	2572	4006
391	2577	3997
392	2583	3990
393	2589	3982
394	2595	3975
395	2601	3967
396	2606	3958
397	2612	3952
398	2618	3944
399	2624	3936
400	2630	3928
401	2635	3920
402	2645	3919
403	2656	3919
404	2665	3915
405	2673	3911
406	2682	3908
407	2688	3900
408	2694	3892
409	2699	3884
410	2704	3876
411	2711	3869
412	2716	3861
413	2721	3852
414	2727	3844
415	2733	3837
416	2738	3829
417	2744	3821
418	2750	3813
419	2756	3807
420	2762	3799
421	2767	3790
422	2774	3784
423	2779	3776
424	2785	3768
425	2791	3760
426	2797	3753
427	2803	3746
428	2808	3738
429	2813	3730
430	2820	3723
431	2825	3715
432	2831	3708
433	2837	3700
434	2842	3692
435	2848	3685
436	2854	3677
437	2859	3668
438	2866	3662
439	2871	3654
440	2877	3647
441	2883	3639
442	2888	3631
443	2893	3623
444	2899	3616
445	2904	3607
446	2910	3600
447	2916	3593
448	2921	3584
449	2927	3578
450	2932	3570
451	2938	3562
452	2944	3556
453	2966	3567
454	2971	3559
455	2977	3552
456	2983	3544
457	2988	3537
458	2995	3530
459	3000	3522
460	3007	3516
461	3012	3508
462	3018	3501
463	3024	3493
464	3030	3486
465	3036	3479
466	3042	3472
467	3048	3465
468	3054	3457
469	3059	3450
470	3065	3443
471	3071	3435
472	3077	3428
473	3083	3422
474	3089	3414
475	3095	3407
476	3101	3400
477	3107	3393
478	3113	3386
479	3119	3379
480	3124	3371
481	3130	3364
482	3136	3356
483	3141	3349
484	3147	3341
485	3152	3334
486	3159	3328
487	3166	3321
488	3170	3313
489	3177	3306
490	3182	3299
491	3188	3292
492	3194	3284
493	3199	3277
494	3206	3270
495	3212	3263
496	3217	3256
497	3223	3248
498	3228	3241
499	3233	3233
500	3239	3226
501	3245	3219
502	3251	3212
503	3259	3208
504	3278	3213
505	3289	3211
506	3306	3215
507	3312	3208
508	3318	3200
509	3330	3199
510	3336	3192
511	3342	3185
512	3347	3178
513	3352	3170
514	3359	3163
515	3364	3156
516	3369	3148
517	3376	3141
518	3381	3134
519	3388	3127
520	3393	3119
521	3398	3112
522	3404	3105
523	3410	3097
524	3415	3090
525	3421	3083
526	3427	3076
527	3433	3069
528	3438	3061
529	3444	3054
530	3450	3047
531	3456	3040
532	3461	3033
533	3468	3026
534	3473	3019
535	3478	3011
536	3485	3004
537	3490	2997
538	3496	2990
539	3501	2982
540	3507	2975
541	3513	2968
542	3518	2961
543	3524	2954
544	3530	2947
545	3535	2939
546	3540	2932
547	3547	2925
548	3553	2918
549	3559	2912
550	3565	2905
551	3570	2897
552	3576	2890
553	3582	2883
554	3588	2877
555	3594	2870
556	3601	2864
557	3607	2857
558	3614	2851
559	3619	2844
560	3625	2836
561	3631	2830
562	3637	2823
563	3642	2815
564	3649	2809
565	3654	2802
566	3661	2795
567	3666	2788
568	3671	2781
569	3678	2774
570	3684	2768
571	3689	2760
572	3695	2753
573	3701	2746
574	3707	2740
575	3713	2733
576	3719	2726
577	3725	2720
578	3731	2713
579	3736	2706
580	3742	2698
581	3747	2691
582	3753	2684
583	3759	2678
584	3765	2670
585	3771	2664
586	3777	2657
587	3782	2650
588	3788	2643
589	3794	2636
590	3800	2630
591	3806	2623
592	3811	2615
593	3817	2609
594	3823	2602
595	3829	2595
596	3834	2588
597	3840	2581
598	3846	2575
599	3852	2568
600	3857	2560
601	3863	2554
602	3869	2547
603	3875	2540
604	3880	2533
605	3886	2527
606	3892	2520
607	3898	2513
608	3904	2506
609	3911	2500
610	3917	2493
611	3923	2487
612	3929	2480
613	3934	2473
614	3940	2466
615	3946	2459
616	3951	2452
617	3957	2446
618	3963	2439
619	3969	2432
620	3975	2425
621	3980	2418
622	3986	2412
623	3991	2405
624	3996	2398
625	4003	2391
626	4009	2384
627	4014	2378
628	4020	2371
629	4025	2364
630	4032	2358
631	4037	2351
632	4042	2344
633	4048	2337
634	4054	2330
635	4060	2323
636	4065	2316
637	4071	2310
638	4077	2303
639	4082	2296
640	4088	2289
641	4094	2283
642	4100	2276
643	4106	2269
644	4113	2263
645	4118	2257
646	4125	2250
647	4130	2243
648	4136	2237
649	4142	2230
650	4147	2223
651	4153	2217
652	4159	2210
653	4165	2203
654	4172	2197
655	4178	2190
656	4183	2184
657	4189	2177
658	4195	2171
659	4202	2164
660	4207	2158
661	4213	2151
662	4219	2144
663	4225	2138
664	4231	2131
665	4236	2124
666	4242	2117
667	4248	2111
668	4254	2104
669	4259	2097
670	4265	2091
671	4271	2084
672	4276	2078
673	4282	2071
674	4288	2064
675	4294	2058
676	4300	2051
677	4305	2044
678	4311	2038
679	4316	2031
680	4322	2024
681	4328	2018
682	4334	2011
683	4340	2005
684	4345	1998
685	4350	1991
686	4356	1985
687	4362	1978
688	4367	1971
689	4374	1965
690	4379	1958
691	4385	1952
692	4391	1945
693	4396	1938
694	4403	1932
695	4408	1925
696	4413	1918
697	4420	1912
698	4425	1905
699	4430	1898
700	4436	1892
701	4441	1885
702	4446	1878
703	4452	1872
704	4457	1865
705	4464	1859
706	4470	1852
707	4475	1845
708	4481	1839
709	4487	1832
710	4493	1826
711	4499	1819
712	4504	1813
713	4510	1806
714	4516	1800
715	4521	1793
716	4527	1787
717	4533	1780
718	4539	1774
719	4545	1767
720	4550	1760
721	4556	1754
722	4562	1747
723	4567	1741
724	4573	1734
725	4579	1728
726	4584	1721
727	4590	1715
728	4595	1708
729	4602	1702
730	4607	1695
731	4613	1688
732	4619	1682
733	4624	1676
734	4629	1669
735	4636	1662
736	4641	1656
737	4647	1649
738	4653	1643
739	4658	1636
740	4664	1630
741	4670	1623
742	4675	1617
743	4681	1610
744	4686	1604
745	4692	1597
746	4698	1591
747	4704	1584
748	4709	1578
749	4715	1571
750	4721	1565
751	4727	1559
752	4733	1552
753	4738	1545
754	4744	1539
755	4749	1533
756	4755	1526
757	4761	1520
758	4766	1513
759	4772	1507
760	4778	1500
761	4783	1493
762	4789	1487
763	4795	1481
764	4801	1475
765	4807	1468
766	4812	1462
767	4818	1455
768	4824	1449
769	4830	1442
770	4835	1436
771	4841	1429
772	4846	1423
773	4852	1416
774	4859	1410
775	4864	1404
776	4870	1397
777	4876	1391
778	4882	1385
779	4886	1378
780	4894	1372
781	4900	1366
782	4906	1359
783	4911	1353
784	4916	1346
785	4923	1340
786	4929	1334
787	4935	1327
788	4940	1321
789	4945	1314
790	4952	1308
791	4957	1302
792	4963	1295
793	4969	1289
794	4974	1282
795	4980	1276
796	4986	1270
797	4992	1263
798	4998	1257
799	5004	1251
800	5009	1244
801	5015	1238
802	5021	1231
803	5026	1225
804	5032	1219
805	5038	1212
806	5044	1206
807	5049	1199
808	5054	1193
809	5060	1187
810	5070	1181
811	5101	1181
812	5107	1174
813	5113	1168
814	5121	1162
815	5128	1156
816	5134	1150
817	5140	1143
818	5146	1137
819	5151	1130
820	5158	1124
821	5164	1118
822	5169	1111
823	5174	1105
824	5180	1098
825	5185	1092
826	5191	1086
827	5197	1079
828	5203	1073
829	5209	1066
830	5214	1060
831	5220	1054
832	5226	1047
833	5231	1041
834	5237	1034
835	5242	1028
836	5248	1022
837	5254	1015
838	5259	1009
839	5265	1002
840	5270	996
841	5276	990
842	5282	983
843	5287	977
844	5293	971
845	5299	964
846	5305	958
847	5312	952
848	5317	945
849	5322	939
850	5329	933
851	5335	926
852	5342	920
853	5348	914
854	5354	908
855	5360	901
856	5366	895
857	5371	888
858	5377	882
859	5382	876
860	5388	869
861	5394	863
862	5399	857
863	5406	850
864	5412	844
865	5417	838
866	5423	831
867	5428	825
868	5434	819
869	5439	812
870	5445	806
871	5452	800
872	5457	793
873	5462	787
874	5469	781
875	5475	775
876	5481	768
877	5486	762
878	5491	755
879	5497	749
880	5503	743
881	5508	736
882	5515	730
883	5520	724
884	5525	718
885	5532	711
886	5537	705
887	5543	699
888	5549	692
889	5554	686
890	5560	680
891	5566	673
892	5572	667
893	5578	661
894	5584	655
895	5590	648
896	5596	642
897	5602	636
898	5609	630
899	5615	623
900	5622	617
901	5628	611
902	5634	605
903	5641	599
904	5647	592
905	5653	586
906	5660	580
907	5667	574
908	5673	567
909	5678	561
910	5685	555
911	5691	549
912	5697	542
913	5703	536
914	5709	530
915	5716	524
916	5722	517
917	5728	511
918	5733	505
919	5739	499
920	5746	492
921	5751	486
922	5757	480
923	5763	474
924	5768	467
925	5774	461
926	5780	455
927	5786	448
928	5792	442
929	5798	436
